"NAME","NATIONALITY"
"waltergropius","List_of_Germans"
"carlludvigengel","List_of_Germans"
"leovonklenze","List_of_Germans"
"balthasarneumann","List_of_Germans"
"matthäusdanielpöppelmann","List_of_Germans"
"ludwigmiesvanderrohe","List_of_Germans"
"karlfriedrichschinkel","List_of_Germans"
"johannconradschlaun","List_of_Germans"
"gottfriedsemper","List_of_Germans"
"albertspeer","List_of_Germans"
"wilhelmkreis","List_of_Germans"
"hansvonaachen","List_of_Germans"
"albrechtaltdorfer","List_of_Germans"
"gertrudarndt","List_of_Germans"
"ernstbarlach","List_of_Germans"
"güntherbehnisch","List_of_Germans"
"peterbehrens","List_of_Germans"
"sibyllebergemann","List_of_Germans"
"josephbeuys","List_of_Germans"
"hermannbiow","List_of_Germans"
"elisabethböhm","List_of_Germans"
"gottfriedböhm","List_of_Germans"
"arnobreker","List_of_Germans"
"loviscorinth","List_of_Germans"
"lucascranachtheelder","List_of_Germans"
"lucascranachtheyounger","List_of_Germans"
"yitzhakdanziger","List_of_Germans"
"ottodix","List_of_Germans"
"albrechtdürer","List_of_Germans"
"egoneiermann","List_of_Germans"
"maxernst","List_of_Germans"
"carleytel","List_of_Germans"
"caspardavidfriedrich","List_of_Germans"
"dörtegatermann","List_of_Germans"
"williglasauer","List_of_Germans"
"waltergropius","List_of_Germans"
"georgegrosz","List_of_Germans"
"matthiasgrünewald","List_of_Germans"
"johanngottliebhantzsch","List_of_Germans"
"christianhellmich","List_of_Germans"
"hannahhöch","List_of_Germans"
"hansholbeintheelder","List_of_Germans"
"hansholbeintheyounger","List_of_Germans"
"jörgimmendorff","List_of_Germans"
"helmutjahn","List_of_Germans"
"horstjanssen","List_of_Germans"
"ullikampelmann","List_of_Germans"
"anselmkiefer","List_of_Germans"
"martinkippenberger","List_of_Germans"
"ernstludwigkirchner","List_of_Germans"
"leovonklenze","List_of_Germans"
"hanskollhoff","List_of_Germans"
"käthekollwitz","List_of_Germans"
"christianlemmerz","List_of_Germans"
"maxliebermann","List_of_Germans"
"markuslüpertz","List_of_Germans"
"augustmacke","List_of_Germans"
"harromagnussen","List_of_Germans"
"franzmarc","List_of_Germans"
"hansmemling","List_of_Germans"
"ludwigmiesvanderrohe","List_of_Germans"
"paulamodersohnbecker","List_of_Germans"
"georgmuche","List_of_Germans"
"helmutnewton","List_of_Germans"
"freiotto","List_of_Germans"
"maxpechstein","List_of_Germans"
"sigmarpolke","List_of_Germans"
"gerhardrichter","List_of_Germans"
"juliusrunge","List_of_Germans"
"karlfriedrichschinkel","List_of_Germans"
"oskarschlemmer","List_of_Germans"
"eberhardschlotter","List_of_Germans"
"karlschmidtrottluff","List_of_Germans"
"kurtschwitters","List_of_Germans"
"fritzschumacher","List_of_Germans"
"maxslevogt","List_of_Germans"
"carlspitzweg","List_of_Germans"
"birgitstauch","List_of_Germans"
"fritzstoltenberg","List_of_Germans"
"franzstuck","List_of_Germans"
"yigaltumarkin","List_of_Germans"
"wolfvostell","List_of_Germans"
"berthawehnertbeckmann","List_of_Germans"
"emiliewinkelmann","List_of_Germans"
"karlalbrecht","List_of_Germans"
"ludwigbamberger","List_of_Germans"
"johnjacobbausch","List_of_Germans"
"friedrichbayer","List_of_Germans"
"hansbeck","List_of_Germans"
"paulcarlbeiersdorf","List_of_Germans"
"melittabentz","List_of_Germans"
"karlbenz","List_of_Germans"
"maximiliandelphiniusberlitz","List_of_Germans"
"carlbertelsmann","List_of_Germans"
"johannadambirkenstock","List_of_Germans"
"augustborsig","List_of_Germans"
"robertbosch","List_of_Germans"
"hugoboss","List_of_Germans"
"maxbraun","List_of_Germans"
"adolphusbusch","List_of_Germans"
"adolphcoors","List_of_Germans"
"gottliebdaimler","List_of_Germans"
"adolfdassler","List_of_Germans"
"rudolfdassler","List_of_Germans"
"adelbertdelbrück","List_of_Germans"
"guidohenckelvondonnersmarck","List_of_Germans"
"claudedornier","List_of_Germans"
"friedrichengelhorn","List_of_Germans"
"kasparfaber","List_of_Germans"
"güntherfielmann","List_of_Germans"
"wilhelmvonfinck","List_of_Germans"
"eduardfresenius","List_of_Germans"
"jakobfuggertheelder","List_of_Germans"
"marcusgoldman","List_of_Germans"
"maxgrundig","List_of_Germans"
"maxherz","List_of_Germans"
"ernstheinkel","List_of_Germans"
"augusthorch","List_of_Germans"
"helmuthorten","List_of_Germans"
"augusthowaldt","List_of_Germans"
"hugojunkers","List_of_Germans"
"rudolphkarstadt","List_of_Germans"
"ernstkeil","List_of_Germans"
"carlkellner","List_of_Germans"
"carlheinrichtheodorknorr","List_of_Germans"
"friedrichkrupp","List_of_Germans"
"henrylehman","List_of_Germans"
"carlvonlinde","List_of_Germans"
"henrylomb","List_of_Germans"
"oscarferdinandmayer","List_of_Germans"
"josephmendelssohn","List_of_Germans"
"friedrichjacobmerck","List_of_Germans"
"georgemerck","List_of_Germans"
"willymesserschmitt","List_of_Germans"
"heinrichmeyerfreund","List_of_Germans"
"carlmiele","List_of_Germans"
"frederickmiller","List_of_Germans"
"josefneckermann","List_of_Germans"
"augustoetker","List_of_Germans"
"adamopel","List_of_Germans"
"salomonoppenheim","List_of_Germans"
"ernestoppenheimer","List_of_Germans"
"wernerotto","List_of_Germans"
"ferdinandporsche","List_of_Germans"
"güntherquandt","List_of_Germans"
"karlfriedrichrapp","List_of_Germans"
"emilrathenau","List_of_Germans"
"paulreuter","List_of_Germans"
"hansriegel","List_of_Germans"
"nathanmayerrothschild","List_of_Germans"
"ernstchristianfriedrichschering","List_of_Germans"
"gustavschickedanz","List_of_Germans"
"antonschlecker","List_of_Germans"
"fritzsennheiser","List_of_Germans"
"georgvonsiemens","List_of_Germans"
"wernervonsiemens","List_of_Germans"
"brunosteinhoff","List_of_Germans"
"henrye.steinway","List_of_Germans"
"hugostinnes","List_of_Germans"
"auguststorckoberwelland","List_of_Germans"
"franzströher","List_of_Germans"
"carltchilinghiryan","List_of_Germans"
"carlvonthieme","List_of_Germans"
"augustthyssen","List_of_Germans"
"friedrichthyssen","List_of_Germans"
"hermanntietz","List_of_Germans"
"leopoldullstein","List_of_Germans"
"ernstvoss","List_of_Germans"
"carlwalther","List_of_Germans"
"siegmundwarburg","List_of_Germans"
"bartholomeusv.welser","List_of_Germans"
"georgwertheim","List_of_Germans"
"stefwertheimer","List_of_Germans"
"aloyswobben","List_of_Germans"
"reinholdwürth","List_of_Germans"
"carlzeiss","List_of_Germans"
"ferdinandvonzeppelin","List_of_Germans"
"nadjaauermann","List_of_Germans"
"eugenbauder","List_of_Germans"
"charlottcordes","List_of_Germans"
"zohreesmaeli","List_of_Germans"
"tonigarrn","List_of_Germans"
"lenagercke","List_of_Germans"
"manonvongerkan","List_of_Germans"
"jenniferhof","List_of_Germans"
"alexandrakamp","List_of_Germans"
"heidiklum","List_of_Germans"
"dianekruger","List_of_Germans"
"barbarameier","List_of_Germans"
"uschiobermaier","List_of_Germans"
"evapadberg","List_of_Germans"
"nico","List_of_Germans"
"tatjanapatitz","List_of_Germans"
"claudiaschiffer","List_of_Germans"
"juliastegner","List_of_Germans"
"hugoboss","List_of_Germans"
"wolfgangjoop","List_of_Germans"
"karllagerfeldt","List_of_Germans"
"michaelmichalsky","List_of_Germans"
"ingaabel","List_of_Germans"
"marioadorf","List_of_Germans"
"hansalbers","List_of_Germans"
"irisberben","List_of_Germans"
"moritzbleibtreu","List_of_Germans"
"gritboettcher","List_of_Germans"
"ericbraeden","List_of_Germans"
"danielbrühl","List_of_Germans"
"horstbuchholz","List_of_Germans"
"viccovonbülow","List_of_Germans"
"hansclarin","List_of_Germans"
"augustdiehl","List_of_Germans"
"marlenedietrich","List_of_Germans"
"georgedzundza","List_of_Germans"
"heinzerhardt","List_of_Germans"
"veronicaferres","List_of_Germans"
"gertfröbe","List_of_Germans"
"corneliafroboess","List_of_Germans"
"martinagedeck","List_of_Germans"
"götzgeorge","List_of_Germans"
"heinrichgeorge","List_of_Germans"
"gustafgründgens","List_of_Germans"
"evahabermann","List_of_Germans"
"evelynhamann","List_of_Germans"
"brigittehelm","List_of_Germans"
"henriettehendelschütz","List_of_Germans"
"emiljannings","List_of_Germans"
"haraldjuhnke","List_of_Germans"
